first_name,male,female
CHELSEA,0.0,1.0
CHELSEY,0.0,1.0
CHELSIE,0.0,1.0
CHER,0.0,1.0
CHERE,0.0,1.0
CHEREE,0.0,1.0
CHERELLE,0.0,1.0
CHERI,0.0,1.0
CHERIE,0.0,1.0
CHERILYN,0.0,1.0
CHERISE,0.0,1.0
CHERISH,0.0,1.0
CHERLY,0.0,1.0
CHERLYN,0.0,1.0
CHERRI,0.0,1.0
CHERRIE,0.0,1.0
CHERRY,0.0,1.0
CHERRYL,0.0,1.0
CHERY,0.0,1.0
CHERYL,0.0,1.0
CHERYLE,0.0,1.0
CHERYLL,0.0,1.0
CHESTER,1.0,0.0
CHET,1.0,0.0
CHEYENNE,0.0,1.0
CHI,0.7142857142857142,0.2857142857142857
CHIA,0.0,1.0
CHIEKO,0.0,1.0
CHIN,0.0,1.0
CHINA,0.0,1.0
CHING,0.0,1.0
CHIQUITA,0.0,1.0
CHLOE,0.0,1.0
CHONG,0.3636363636363637,0.6363636363636364
CHRIS,0.8914027149321266,0.10859728506787329
CHRISSY,0.0,1.0
CHRISTA,0.0,1.0
CHRISTAL,0.0,1.0
CHRISTEEN,0.0,1.0
CHRISTEL,0.0,1.0
CHRISTEN,0.0,1.0
CHRISTENA,0.0,1.0
CHRISTENE,0.0,1.0
CHRISTI,0.0,1.0
CHRISTIA,0.0,1.0
CHRISTIAN,0.8666666666666666,0.13333333333333333
CHRISTIANA,0.0,1.0
CHRISTIANE,0.0,1.0
CHRISTIE,0.0,1.0
CHRISTIN,0.0,1.0
CHRISTINA,0.0,1.0
CHRISTINE,0.0,1.0
CHRISTINIA,0.0,1.0
CHRISTOPER,1.0,0.0
CHRISTOPHER,0.9971098265895953,0.002890173410404624
CHRISTY,0.0,1.0
CHRYSTAL,0.0,1.0
CHU,0.0,1.0
CHUCK,1.0,0.0
CHUN,0.0,1.0
CHUNG,0.7142857142857142,0.2857142857142857
CIARA,0.0,1.0
CICELY,0.0,1.0
CIERA,0.0,1.0
CIERRA,0.0,1.0
CINDA,0.0,1.0
CINDERELLA,0.0,1.0
CINDI,0.0,1.0
CINDIE,0.0,1.0
CINDY,0.0,1.0
CINTHIA,0.0,1.0
CIRA,0.0,1.0
CLAIR,0.7272727272727273,0.2727272727272727
CLAIRE,0.0,1.0
CLARA,0.0,1.0
CLARE,0.0,1.0
CLARENCE,0.9949494949494949,0.005050505050505051
CLARETHA,0.0,1.0
CLARETTA,0.0,1.0
CLARIBEL,0.0,1.0
CLARICE,0.0,1.0
